,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Cluster
187,188,2011-07-07,fall,2011,7,0,4,1,Clear/Cloudy,30.8,34.3,65.1,10.7,754,3838,4592,Transportasi Kerja/Sekolah
188,189,2011-07-08,fall,2011,7,0,5,1,Mist,29.1,33.5,75.8,15.1,692,3348,4040,Transportasi Kerja/Sekolah
189,190,2011-07-09,fall,2011,7,0,6,0,Clear/Cloudy,30.1,33.2,60.9,11.3,1988,3348,5336,Rekreasi dan Liburan
190,191,2011-07-10,fall,2011,7,0,0,0,Clear/Cloudy,30.6,34.5,57.8,12.3,1743,3138,4881,Rekreasi dan Liburan
191,192,2011-07-11,fall,2011,7,0,1,1,Clear/Cloudy,31.3,36.5,63.6,18.9,723,3363,4086,Transportasi Kerja/Sekolah
192,193,2011-07-12,fall,2011,7,0,2,1,Clear/Cloudy,32.6,37.0,55.9,13.4,662,3596,4258,Transportasi Kerja/Sekolah
193,194,2011-07-13,fall,2011,7,0,3,1,Clear/Cloudy,30.6,34.5,63.2,9.8,748,3594,4342,Transportasi Kerja/Sekolah
194,195,2011-07-14,fall,2011,7,0,4,1,Clear/Cloudy,27.9,31.8,47.6,16.1,888,4196,5084,Transportasi Kerja/Sekolah
195,196,2011-07-15,fall,2011,7,0,5,1,Clear/Cloudy,27.2,31.2,59.1,12.2,1318,4220,5538,Transportasi Kerja/Sekolah
196,197,2011-07-16,fall,2011,7,0,6,0,Clear/Cloudy,28.2,31.9,58.5,14.0,2418,3505,5923,Rekreasi dan Liburan
197,198,2011-07-17,fall,2011,7,0,0,0,Clear/Cloudy,29.5,33.5,60.4,16.4,2006,3296,5302,Rekreasi dan Liburan
198,199,2011-07-18,fall,2011,7,0,1,1,Clear/Cloudy,30.6,35.2,65.1,14.5,841,3617,4458,Transportasi Kerja/Sekolah
199,200,2011-07-19,fall,2011,7,0,2,1,Clear/Cloudy,31.8,37.4,65.0,8.8,752,3789,4541,Transportasi Kerja/Sekolah
200,201,2011-07-20,fall,2011,7,0,3,1,Clear/Cloudy,31.5,37.3,70.7,7.6,644,3688,4332,Transportasi Kerja/Sekolah
201,202,2011-07-21,fall,2011,7,0,4,1,Mist,33.4,41.3,69.1,14.9,632,3152,3784,Transportasi Kerja/Sekolah
202,203,2011-07-22,fall,2011,7,0,5,1,Clear/Cloudy,34.8,42.0,58.0,8.9,562,2825,3387,Transportasi Kerja/Sekolah
203,204,2011-07-23,fall,2011,7,0,6,0,Clear/Cloudy,34.8,40.2,50.0,8.8,987,2298,3285,Rekreasi dan Liburan
204,205,2011-07-24,fall,2011,7,0,0,0,Clear/Cloudy,34.0,39.7,55.1,11.3,1050,2556,3606,Rekreasi dan Liburan
205,206,2011-07-25,fall,2011,7,0,1,1,Clear/Cloudy,30.5,36.0,75.7,6.1,568,3272,3840,Transportasi Kerja/Sekolah
206,207,2011-07-26,fall,2011,7,0,2,1,Clear/Cloudy,31.6,34.8,54.1,13.4,750,3840,4590,Transportasi Kerja/Sekolah
207,208,2011-07-27,fall,2011,7,0,3,1,Clear/Cloudy,31.8,34.5,40.3,12.3,755,3901,4656,Transportasi Kerja/Sekolah
208,209,2011-07-28,fall,2011,7,0,4,1,Clear/Cloudy,31.9,37.0,58.3,12.0,606,3784,4390,Transportasi Kerja/Sekolah
209,210,2011-07-29,fall,2011,7,0,5,1,Clear/Cloudy,34.4,39.3,54.2,11.7,670,3176,3846,Transportasi Kerja/Sekolah
210,211,2011-07-30,fall,2011,7,0,6,0,Clear/Cloudy,33.0,36.4,46.6,11.3,1559,2916,4475,Rekreasi dan Liburan
211,212,2011-07-31,fall,2011,7,0,0,0,Clear/Cloudy,33.0,36.5,48.1,11.0,1524,2778,4302,Rekreasi dan Liburan
212,213,2011-08-01,fall,2011,8,0,1,1,Clear/Cloudy,31.6,35.2,55.1,10.5,729,3537,4266,Transportasi Kerja/Sekolah
213,214,2011-08-02,fall,2011,8,0,2,1,Clear/Cloudy,32.1,35.4,49.1,13.8,801,4044,4845,Transportasi Kerja/Sekolah
214,215,2011-08-03,fall,2011,8,0,3,1,Mist,30.0,34.0,65.8,9.1,467,3107,3574,Transportasi Kerja/Sekolah
215,216,2011-08-04,fall,2011,8,0,4,1,Mist,29.1,33.2,75.8,13.2,799,3777,4576,Transportasi Kerja/Sekolah
216,217,2011-08-05,fall,2011,8,0,5,1,Clear/Cloudy,29.1,32.8,63.1,12.4,1023,3843,4866,Transportasi Kerja/Sekolah
217,218,2011-08-06,fall,2011,8,0,6,0,Mist,29.4,33.8,75.5,15.3,1521,2773,4294,Rekreasi dan Liburan
218,219,2011-08-07,fall,2011,8,0,0,0,Clear/Cloudy,30.4,35.8,75.3,13.5,1298,2487,3785,Rekreasi dan Liburan
219,220,2011-08-08,fall,2011,8,0,1,1,Clear/Cloudy,31.4,35.2,59.2,12.9,846,3480,4326,Transportasi Kerja/Sekolah
220,221,2011-08-09,fall,2011,8,0,2,1,Clear/Cloudy,31.8,36.2,57.0,10.1,907,3695,4602,Transportasi Kerja/Sekolah
221,222,2011-08-10,fall,2011,8,0,3,1,Clear/Cloudy,31.4,34.2,42.4,13.4,884,3896,4780,Transportasi Kerja/Sekolah
222,223,2011-08-11,fall,2011,8,0,4,1,Clear/Cloudy,29.4,32.6,42.4,11.0,812,3980,4792,Transportasi Kerja/Sekolah
223,224,2011-08-12,fall,2011,8,0,5,1,Clear/Cloudy,29.0,32.7,41.5,8.4,1051,3854,4905,Transportasi Kerja/Sekolah
224,225,2011-08-13,fall,2011,8,0,6,0,Mist,28.1,32.3,73.0,14.2,1504,2646,4150,Rekreasi dan Liburan
225,226,2011-08-14,fall,2011,8,0,0,0,Mist,27.7,31.2,81.8,14.9,1338,2482,3820,Rekreasi dan Liburan
226,227,2011-08-15,fall,2011,8,0,1,1,Clear/Cloudy,27.3,30.8,71.2,14.0,775,3563,4338,Transportasi Kerja/Sekolah
227,228,2011-08-16,fall,2011,8,0,2,1,Clear/Cloudy,28.7,32.3,57.8,15.8,721,4004,4725,Transportasi Kerja/Sekolah
228,229,2011-08-17,fall,2011,8,0,3,1,Clear/Cloudy,29.7,33.3,57.5,9.6,668,4026,4694,Transportasi Kerja/Sekolah
229,230,2011-08-18,fall,2011,8,0,4,1,Clear/Cloudy,29.2,33.1,65.5,15.6,639,3166,3805,Transportasi Kerja/Sekolah
230,231,2011-08-19,fall,2011,8,0,5,1,Mist,28.1,31.7,72.3,9.3,797,3356,4153,Transportasi Kerja/Sekolah
231,232,2011-08-20,fall,2011,8,0,6,0,Clear/Cloudy,28.6,32.4,67.4,7.0,1914,3277,5191,Rekreasi dan Liburan
232,233,2011-08-21,fall,2011,8,0,0,0,Clear/Cloudy,29.1,33.8,77.0,16.7,1249,2624,3873,Rekreasi dan Liburan
233,234,2011-08-22,fall,2011,8,0,1,1,Clear/Cloudy,28.4,31.9,47.0,18.5,833,3925,4758,Transportasi Kerja/Sekolah
234,235,2011-08-23,fall,2011,8,0,2,1,Clear/Cloudy,26.3,30.3,45.5,9.8,1281,4614,5895,Transportasi Kerja/Sekolah
235,236,2011-08-24,fall,2011,8,0,3,1,Clear/Cloudy,27.6,31.5,60.5,17.0,949,4181,5130,Transportasi Kerja/Sekolah
236,237,2011-08-25,fall,2011,8,0,4,1,Mist,28.1,32.3,77.2,14.1,435,3107,3542,Transportasi Kerja/Sekolah
237,238,2011-08-26,fall,2011,8,0,5,1,Clear/Cloudy,28.7,33.0,76.1,5.6,768,3893,4661,Transportasi Kerja/Sekolah
238,239,2011-08-27,fall,2011,8,0,6,0,Mist,27.9,31.8,85.0,25.2,226,889,1115,Rekreasi dan Liburan
239,240,2011-08-28,fall,2011,8,0,0,0,Clear/Cloudy,29.0,32.4,56.2,20.4,1415,2919,4334,Rekreasi dan Liburan
240,241,2011-08-29,fall,2011,8,0,1,1,Clear/Cloudy,26.1,30.4,55.5,10.7,729,3905,4634,Transportasi Kerja/Sekolah
241,242,2011-08-30,fall,2011,8,0,2,1,Clear/Cloudy,26.2,29.7,54.8,8.4,775,4429,5204,Transportasi Kerja/Sekolah
242,243,2011-08-31,fall,2011,8,0,3,1,Clear/Cloudy,26.9,30.6,59.8,5.6,688,4370,5058,Transportasi Kerja/Sekolah
243,244,2011-09-01,fall,2011,9,0,4,1,Clear/Cloudy,26.9,30.7,63.9,9.5,783,4332,5115,Transportasi Kerja/Sekolah
244,245,2011-09-02,fall,2011,9,0,5,1,Mist,26.4,30.2,72.7,9.4,875,3852,4727,Transportasi Kerja/Sekolah
245,246,2011-09-03,fall,2011,9,0,6,0,Clear/Cloudy,27.4,31.7,71.7,12.4,1935,2549,4484,Rekreasi dan Liburan
246,247,2011-09-04,fall,2011,9,0,0,0,Clear/Cloudy,29.1,33.3,74.2,13.8,2521,2419,4940,Rekreasi dan Liburan
247,248,2011-09-05,fall,2011,9,1,1,0,Mist,27.6,31.3,79.0,14.3,1236,2115,3351,Rekreasi dan Liburan
248,249,2011-09-06,fall,2011,9,0,2,1,Light Rain,22.1,25.8,88.7,23.0,204,2506,2710,Cuaca Buruk
249,250,2011-09-07,fall,2011,9,0,3,1,Light Rain,24.6,27.2,91.7,6.5,118,1878,1996,Cuaca Buruk
250,251,2011-09-08,fall,2011,9,0,4,1,Light Rain,26.0,27.8,94.0,12.9,153,1689,1842,Cuaca Buruk
251,252,2011-09-09,fall,2011,9,0,5,1,Mist,26.6,28.9,89.8,8.3,417,3127,3544,Transportasi Kerja/Sekolah
252,253,2011-09-10,fall,2011,9,0,6,0,Clear/Cloudy,27.1,30.4,75.4,10.3,1750,3595,5345,Rekreasi dan Liburan
253,254,2011-09-11,fall,2011,9,0,0,0,Clear/Cloudy,26.8,30.5,71.4,7.7,1633,3413,5046,Rekreasi dan Liburan
254,255,2011-09-12,fall,2011,9,0,1,1,Clear/Cloudy,26.4,30.1,69.2,6.0,690,4023,4713,Transportasi Kerja/Sekolah
255,256,2011-09-13,fall,2011,9,0,2,1,Clear/Cloudy,26.7,30.2,71.2,9.5,701,4062,4763,Transportasi Kerja/Sekolah
256,257,2011-09-14,fall,2011,9,0,3,1,Clear/Cloudy,27.6,31.3,69.7,11.2,647,4138,4785,Transportasi Kerja/Sekolah
257,258,2011-09-15,fall,2011,9,0,4,1,Mist,23.7,27.7,70.9,18.2,428,3231,3659,Transportasi Kerja/Sekolah
258,259,2011-09-16,fall,2011,9,0,5,1,Mist,19.2,23.1,59.0,11.0,742,4018,4760,Transportasi Kerja/Sekolah
259,260,2011-09-17,fall,2011,9,0,6,0,Mist,20.2,23.9,71.8,12.7,1434,3077,4511,Rekreasi dan Liburan
260,261,2011-09-18,fall,2011,9,0,0,0,Clear/Cloudy,20.8,24.5,69.5,12.0,1353,2921,4274,Rekreasi dan Liburan
261,262,2011-09-19,fall,2011,9,0,1,1,Mist,22.5,26.5,69.0,10.2,691,3848,4539,Transportasi Kerja/Sekolah
262,263,2011-09-20,fall,2011,9,0,2,1,Mist,23.0,26.6,88.1,9.0,438,3203,3641,Transportasi Kerja/Sekolah
263,264,2011-09-21,fall,2011,9,0,3,1,Mist,24.4,27.5,90.0,6.5,539,3813,4352,Transportasi Kerja/Sekolah
264,265,2011-09-22,fall,2011,9,0,4,1,Mist,25.8,27.7,90.2,8.6,555,4240,4795,Transportasi Kerja/Sekolah
265,266,2011-09-23,winter,2011,9,0,5,1,Mist,25.0,26.1,97.2,5.3,258,2137,2395,Transportasi Kerja/Sekolah
266,267,2011-09-24,winter,2011,9,0,6,0,Mist,24.9,28.2,86.2,5.3,1776,3647,5423,Rekreasi dan Liburan
267,268,2011-09-25,winter,2011,9,0,0,0,Mist,26.0,28.6,84.5,3.4,1544,3466,5010,Rekreasi dan Liburan
268,269,2011-09-26,winter,2011,9,0,1,1,Mist,26.6,29.5,84.8,7.4,684,3946,4630,Transportasi Kerja/Sekolah
269,270,2011-09-27,winter,2011,9,0,2,1,Mist,26.1,28.7,88.5,7.9,477,3643,4120,Transportasi Kerja/Sekolah
270,271,2011-09-28,winter,2011,9,0,3,1,Mist,26.0,28.8,84.9,10.0,480,3427,3907,Transportasi Kerja/Sekolah
271,272,2011-09-29,winter,2011,9,0,4,1,Clear/Cloudy,25.3,28.7,69.9,11.6,653,4186,4839,Transportasi Kerja/Sekolah
272,273,2011-09-30,winter,2011,9,0,5,1,Clear/Cloudy,23.1,27.2,64.8,13.8,830,4372,5202,Transportasi Kerja/Sekolah
273,274,2011-10-01,winter,2011,10,0,6,0,Mist,16.8,20.6,75.4,19.6,480,1949,2429,Rekreasi dan Liburan
274,275,2011-10-02,winter,2011,10,0,0,0,Mist,14.6,17.3,79.2,14.9,616,2302,2918,Rekreasi dan Liburan
275,276,2011-10-03,winter,2011,10,0,1,1,Mist,15.8,19.6,76.1,5.6,330,3240,3570,Transportasi Kerja/Sekolah
276,277,2011-10-04,winter,2011,10,0,2,1,Clear/Cloudy,19.9,23.6,71.0,13.8,486,3970,4456,Transportasi Kerja/Sekolah
277,278,2011-10-05,winter,2011,10,0,3,1,Clear/Cloudy,22.1,26.4,64.8,11.9,559,4267,4826,Transportasi Kerja/Sekolah
278,279,2011-10-06,winter,2011,10,0,4,1,Clear/Cloudy,20.3,24.0,62.1,9.0,639,4126,4765,Transportasi Kerja/Sekolah
279,280,2011-10-07,winter,2011,10,0,5,1,Clear/Cloudy,20.9,25.2,68.4,1.5,949,4036,4985,Transportasi Kerja/Sekolah
280,281,2011-10-08,winter,2011,10,0,6,0,Clear/Cloudy,21.4,25.7,70.1,3.0,2235,3174,5409,Rekreasi dan Liburan
281,282,2011-10-09,winter,2011,10,0,0,0,Clear/Cloudy,22.2,26.2,72.8,4.3,2397,3114,5511,Rekreasi dan Liburan
282,283,2011-10-10,winter,2011,10,1,1,0,Clear/Cloudy,23.4,27.1,73.4,2.8,1514,3603,5117,Rekreasi dan Liburan
283,284,2011-10-11,winter,2011,10,0,2,1,Mist,23.2,27.3,80.9,9.6,667,3896,4563,Transportasi Kerja/Sekolah
284,285,2011-10-12,winter,2011,10,0,3,1,Light Rain,22.3,25.9,90.6,16.6,217,2199,2416,Cuaca Buruk
285,286,2011-10-13,winter,2011,10,0,4,1,Mist,24.2,27.6,89.7,9.5,290,2623,2913,Transportasi Kerja/Sekolah
286,287,2011-10-14,winter,2011,10,0,5,1,Mist,22.6,26.5,71.6,15.0,529,3115,3644,Transportasi Kerja/Sekolah
287,288,2011-10-15,winter,2011,10,0,6,0,Clear/Cloudy,20.8,24.9,48.3,17.3,1899,3318,5217,Rekreasi dan Liburan
288,289,2011-10-16,winter,2011,10,0,0,0,Clear/Cloudy,21.0,25.2,48.7,18.9,1748,3293,5041,Rekreasi dan Liburan
289,290,2011-10-17,winter,2011,10,0,1,1,Clear/Cloudy,21.9,25.5,58.0,11.8,713,3857,4570,Transportasi Kerja/Sekolah
290,291,2011-10-18,winter,2011,10,0,2,1,Mist,21.8,26.1,70.2,7.4,637,4111,4748,Transportasi Kerja/Sekolah
291,292,2011-10-19,winter,2011,10,0,3,1,Light Rain,22.2,25.7,89.5,16.3,254,2170,2424,Cuaca Buruk
292,293,2011-10-20,winter,2011,10,0,4,1,Clear/Cloudy,19.5,23.3,63.6,28.3,471,3724,4195,Transportasi Kerja/Sekolah
293,294,2011-10-21,winter,2011,10,0,5,1,Clear/Cloudy,17.5,21.2,57.4,14.8,676,3628,4304,Transportasi Kerja/Sekolah
294,295,2011-10-22,winter,2011,10,0,6,0,Clear/Cloudy,17.3,21.3,62.9,6.2,1499,2809,4308,Rekreasi dan Liburan
295,296,2011-10-23,winter,2011,10,0,0,0,Clear/Cloudy,17.3,21.1,74.1,6.7,1619,2762,4381,Rekreasi dan Liburan
296,297,2011-10-24,winter,2011,10,0,1,1,Clear/Cloudy,19.0,22.9,77.2,8.0,699,3488,4187,Transportasi Kerja/Sekolah
297,298,2011-10-25,winter,2011,10,0,2,1,Clear/Cloudy,19.3,23.2,62.3,11.2,695,3992,4687,Transportasi Kerja/Sekolah
298,299,2011-10-26,winter,2011,10,0,3,1,Mist,19.9,23.6,72.0,10.0,404,3490,3894,Transportasi Kerja/Sekolah
299,300,2011-10-27,winter,2011,10,0,4,1,Mist,19.3,22.9,81.3,13.3,240,2419,2659,Transportasi Kerja/Sekolah
300,301,2011-10-28,winter,2011,10,0,5,1,Mist,13.6,15.9,58.6,15.4,456,3291,3747,Cuaca dingin
301,302,2011-10-29,winter,2011,10,0,6,0,Light Rain,10.4,11.4,88.2,23.5,57,570,627,Cuaca Buruk
302,303,2011-10-30,winter,2011,10,0,0,0,Clear/Cloudy,13.1,16.1,62.4,11.8,885,2446,3331,Cuaca dingin
303,304,2011-10-31,winter,2011,10,0,1,1,Clear/Cloudy,13.9,17.8,70.3,7.1,362,3307,3669,Transportasi Kerja/Sekolah
304,305,2011-11-01,winter,2011,11,0,2,1,Clear/Cloudy,16.4,19.9,68.4,9.1,410,3658,4068,Transportasi Kerja/Sekolah
305,306,2011-11-02,winter,2011,11,0,3,1,Clear/Cloudy,15.5,19.5,71.9,5.5,370,3816,4186,Transportasi Kerja/Sekolah
306,307,2011-11-03,winter,2011,11,0,4,1,Clear/Cloudy,16.7,20.3,70.2,9.2,318,3656,3974,Transportasi Kerja/Sekolah
307,308,2011-11-04,winter,2011,11,0,5,1,Mist,16.5,20.2,62.3,18.2,470,3576,4046,Transportasi Kerja/Sekolah
308,309,2011-11-05,winter,2011,11,0,6,0,Clear/Cloudy,13.4,16.2,51.9,12.7,1156,2770,3926,Cuaca dingin
309,310,2011-11-06,winter,2011,11,0,0,0,Clear/Cloudy,14.3,18.1,73.5,6.2,952,2697,3649,Rekreasi dan Liburan
310,311,2011-11-07,winter,2011,11,0,1,1,Clear/Cloudy,16.2,20.0,75.9,3.8,373,3662,4035,Transportasi Kerja/Sekolah
311,312,2011-11-08,winter,2011,11,0,2,1,Clear/Cloudy,16.7,20.6,72.2,4.6,376,3829,4205,Transportasi Kerja/Sekolah
312,313,2011-11-09,winter,2011,11,0,3,1,Clear/Cloudy,16.4,20.5,75.8,4.2,305,3804,4109,Transportasi Kerja/Sekolah
313,314,2011-11-10,winter,2011,11,0,4,1,Mist,15.6,18.7,81.3,12.7,190,2743,2933,Transportasi Kerja/Sekolah
314,315,2011-11-11,winter,2011,11,1,5,0,Clear/Cloudy,13.3,15.3,44.6,21.1,440,2928,3368,Cuaca dingin
315,316,2011-11-12,winter,2011,11,0,6,0,Clear/Cloudy,14.6,17.9,55.3,14.2,1275,2792,4067,Rekreasi dan Liburan
316,317,2011-11-13,winter,2011,11,0,0,0,Clear/Cloudy,18.1,21.5,45.8,18.9,1004,2713,3717,Rekreasi dan Liburan
317,318,2011-11-14,winter,2011,11,0,1,1,Clear/Cloudy,21.7,26.2,58.7,20.5,595,3891,4486,Transportasi Kerja/Sekolah
318,319,2011-11-15,winter,2011,11,0,2,1,Mist,21.7,25.4,68.9,13.4,449,3746,4195,Transportasi Kerja/Sekolah
319,320,2011-11-16,winter,2011,11,0,3,1,Light Rain,18.7,22.6,93.0,9.2,145,1672,1817,Cuaca Buruk
320,321,2011-11-17,winter,2011,11,0,4,1,Mist,14.0,16.2,57.6,20.5,139,2914,3053,Transportasi Kerja/Sekolah
321,322,2011-11-18,winter,2011,11,0,5,1,Clear/Cloudy,11.2,13.6,41.0,11.3,245,3147,3392,Cuaca dingin
322,323,2011-11-19,winter,2011,11,0,6,0,Clear/Cloudy,13.5,16.2,50.2,15.0,943,2720,3663,Cuaca dingin
323,324,2011-11-20,winter,2011,11,0,0,0,Mist,19.0,22.9,68.5,12.5,787,2733,3520,Rekreasi dan Liburan
324,325,2011-11-21,winter,2011,11,0,1,1,Light Rain,18.3,22.3,91.0,9.2,220,2545,2765,Cuaca Buruk
325,326,2011-11-22,winter,2011,11,0,2,1,Light Rain,17.1,21.1,96.2,8.0,69,1538,1607,Cuaca Buruk
326,327,2011-11-23,winter,2011,11,0,3,1,Mist,18.1,21.5,75.8,22.5,112,2454,2566,Transportasi Kerja/Sekolah
327,328,2011-11-24,winter,2011,11,1,4,0,Clear/Cloudy,15.3,18.6,54.9,11.2,560,935,1495,Rekreasi dan Liburan
328,329,2011-11-25,winter,2011,11,0,5,1,Clear/Cloudy,15.4,19.0,64.4,6.6,1095,1697,2792,Transportasi Kerja/Sekolah
329,330,2011-11-26,winter,2011,11,0,6,0,Clear/Cloudy,15.4,19.3,68.2,4.6,1249,1819,3068,Rekreasi dan Liburan
330,331,2011-11-27,winter,2011,11,0,0,0,Clear/Cloudy,18.8,22.8,69.8,14.0,810,2261,3071,Rekreasi dan Liburan
331,332,2011-11-28,winter,2011,11,0,1,1,Clear/Cloudy,20.6,24.5,74.3,9.5,253,3614,3867,Transportasi Kerja/Sekolah
332,333,2011-11-29,winter,2011,11,0,2,1,Mist,18.8,22.6,83.1,17.3,96,2818,2914,Transportasi Kerja/Sekolah
333,334,2011-11-30,winter,2011,11,0,3,1,Clear/Cloudy,13.3,15.6,61.3,18.2,188,3425,3613,Cuaca dingin
334,335,2011-12-01,winter,2011,12,0,4,1,Clear/Cloudy,12.8,15.3,52.5,14.8,182,3545,3727,Cuaca dingin
335,336,2011-12-02,winter,2011,12,0,5,1,Clear/Cloudy,12.9,16.6,62.6,6.8,268,3672,3940,Cuaca dingin
336,337,2011-12-03,winter,2011,12,0,6,0,Clear/Cloudy,12.3,15.5,61.3,6.4,706,2908,3614,Cuaca dingin
337,338,2011-12-04,winter,2011,12,0,0,0,Clear/Cloudy,13.6,17.5,77.6,5.6,634,2851,3485,Cuaca dingin
338,339,2011-12-05,winter,2011,12,0,1,1,Mist,15.8,19.7,82.7,4.2,233,3578,3811,Transportasi Kerja/Sekolah
339,340,2011-12-06,winter,2011,12,0,2,1,Light Rain,19.0,22.8,95.0,15.6,126,2468,2594,Cuaca Buruk
340,341,2011-12-07,winter,2011,12,0,3,1,Light Rain,16.8,20.0,97.0,17.8,50,655,705,Cuaca Buruk
341,342,2011-12-08,winter,2011,12,0,4,1,Clear/Cloudy,10.9,12.8,58.0,16.1,150,3172,3322,Cuaca dingin
342,343,2011-12-09,winter,2011,12,0,5,1,Clear/Cloudy,11.9,15.9,69.6,5.5,261,3359,3620,Cuaca dingin
343,344,2011-12-10,winter,2011,12,0,6,0,Clear/Cloudy,11.3,13.3,50.7,15.6,502,2688,3190,Cuaca dingin
344,345,2011-12-11,winter,2011,12,0,0,0,Clear/Cloudy,9.1,12.7,49.0,4.5,377,2366,2743,Cuaca dingin
345,346,2011-12-12,winter,2011,12,0,1,1,Clear/Cloudy,9.8,13.5,67.1,4.3,143,3167,3310,Cuaca dingin
346,347,2011-12-13,winter,2011,12,0,2,1,Clear/Cloudy,11.6,15.1,59.0,9.4,155,3368,3523,Cuaca dingin
347,348,2011-12-14,winter,2011,12,0,3,1,Mist,13.0,16.9,66.4,4.1,178,3562,3740,Cuaca dingin
348,349,2011-12-15,winter,2011,12,0,4,1,Mist,17.3,20.6,63.4,18.0,181,3528,3709,Transportasi Kerja/Sekolah
349,350,2011-12-16,winter,2011,12,0,5,1,Mist,15.4,18.0,50.0,17.5,178,3399,3577,Transportasi Kerja/Sekolah
350,351,2011-12-17,winter,2011,12,0,6,0,Mist,10.6,12.5,56.1,16.3,275,2464,2739,Cuaca dingin
351,352,2011-12-18,winter,2011,12,0,0,0,Clear/Cloudy,9.8,12.3,58.6,11.4,220,2211,2431,Cuaca dingin
352,353,2011-12-19,winter,2011,12,0,1,1,Clear/Cloudy,11.3,14.0,63.7,11.6,260,3143,3403,Cuaca dingin
353,354,2011-12-20,winter,2011,12,0,2,1,Mist,15.8,19.8,59.5,4.1,216,3534,3750,Transportasi Kerja/Sekolah
354,355,2011-12-21,springer,2011,12,0,3,1,Mist,17.6,21.4,85.8,14.8,107,2553,2660,Transportasi Kerja/Sekolah
355,356,2011-12-22,springer,2011,12,0,4,1,Mist,17.4,21.3,75.8,3.2,227,2841,3068,Transportasi Kerja/Sekolah
356,357,2011-12-23,springer,2011,12,0,5,1,Clear/Cloudy,15.3,18.9,68.6,18.4,163,2046,2209,Transportasi Kerja/Sekolah
357,358,2011-12-24,springer,2011,12,0,6,0,Clear/Cloudy,12.4,15.0,54.2,12.8,155,856,1011,Cuaca dingin
358,359,2011-12-25,springer,2011,12,0,0,0,Clear/Cloudy,11.3,14.0,68.1,10.4,303,451,754,Cuaca dingin
359,360,2011-12-26,springer,2011,12,1,1,0,Clear/Cloudy,13.2,15.8,50.7,16.0,430,887,1317,Cuaca dingin
360,361,2011-12-27,springer,2011,12,0,2,1,Mist,13.3,16.4,76.2,12.6,103,1059,1162,Cuaca dingin
361,362,2011-12-28,springer,2011,12,0,3,1,Clear/Cloudy,12.3,14.0,50.4,19.7,255,2047,2302,Cuaca dingin
362,363,2011-12-29,springer,2011,12,0,4,1,Clear/Cloudy,10.2,13.2,57.4,8.0,254,2169,2423,Cuaca dingin
363,364,2011-12-30,springer,2011,12,0,5,1,Clear/Cloudy,12.8,15.9,63.7,9.0,491,2508,2999,Cuaca dingin
364,365,2011-12-31,springer,2011,12,0,6,0,Clear/Cloudy,16.8,20.7,61.6,14.8,665,1820,2485,Rekreasi dan Liburan
365,366,2012-01-01,springer,2012,1,0,0,0,Clear/Cloudy,15.2,18.8,69.2,12.9,686,1608,2294,Rekreasi dan Liburan
366,367,2012-01-02,springer,2012,1,1,1,0,Clear/Cloudy,11.2,12.6,38.1,22.1,244,1707,1951,Cuaca dingin
367,368,2012-01-03,springer,2012,1,0,2,1,Clear/Cloudy,6.1,6.3,44.1,24.5,89,2147,2236,Cuaca dingin
